food,split,shape,asset_path,method,trial_index,seed,success,spill,trajectory_rmse_from_baseline,bias_approach_speed,bias_scoop_depth,bias_tilt_angle,bias_lift_speed,attr_hardness,attr_stickiness,attr_rollability,attr_fragility,mass,static_friction,dynamic_friction,restitution,notes
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,0,478163327,1,1,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,1,107420369,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,2,1181241943,0,1,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,3,1051802512,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,4,958682846,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,5,599310825,0,1,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,6,440213415,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,7,373399426,0,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,8,1812140441,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,9,136505587,1,1,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,10,127978094,1,1,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,11,402418010,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,12,939042955,0,1,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,13,999270936,0,1,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,14,113971123,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,15,854001193,0,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,16,1801823908,1,1,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,17,946785248,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,18,1929338154,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,19,1194819984,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
